match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating,away_Goalkeeper_rating,home_Goalkeeper_rating
1229354,9850,8586,2012/2013,1/30/13 0:00,DRAW,81.5,74.5,79.25,73.5,85,70
1229355,10172,8456,2012/2013,1/29/13 0:00,DRAW,87,78,81,73.5,84,83
1229356,9798,8455,2012/2013,1/30/13 0:00,DRAW,83,72,79,71.75,72,72
1229357,10194,8528,2012/2013,1/29/13 0:00,DRAW,72,73,72.33333333,75.33333333,79,79
1229358,8472,10003,2012/2013,1/29/13 0:00,DRAW,76.33333333,77,71.75,73.5,72,76
1229359,8668,8659,2012/2013,1/30/13 0:00,HOME_WIN,74,72,70.75,79.25,78,81
1229360,9879,8654,2012/2013,1/30/13 0:00,HOME_WIN,70,75,71.25,76,72,79
1229361,9825,10194,2012/2013,2/2/13 0:00,HOME_WIN,73,80.5,72.8,80.75,79,80
1229362,8668,10252,2012/2013,2/2/13 0:00,DRAW,72.33333333,72,72,79.25,76,81
1229363,9879,10260,2012/2013,2/2/13 0:00,AWAY_WIN,88,75,81,75.6,80,79
1229364,8456,8650,2012/2013,2/3/13 0:00,DRAW,82.5,85.5,79.6,79.75,83,84
1229365,10261,8455,2012/2013,2/2/13 0:00,HOME_WIN,82,82,80.4,76.2,84,79
1229367,10172,9850,2012/2013,2/2/13 0:00,DRAW,74.5,69,73.5,75,70,83
1229369,9798,8472,2012/2013,2/2/13 0:00,HOME_WIN,77,72,73.5,71.66666667,76,72
1229370,8659,8586,2012/2013,2/3/13 0:00,AWAY_WIN,81.5,74.5,79.25,71.25,85,78
1229371,8654,10003,2012/2013,2/2/13 0:00,HOME_WIN,77,73.33333333,73.25,72,72,72
1229372,8528,8466,2012/2013,2/2/13 0:00,DRAW,74,72,72,73.66666667,74,79
1229373,10252,8654,2012/2013,2/10/13 0:00,HOME_WIN,73.5,67,72,73.25,72,76
1229374,8455,8528,2012/2013,2/9/13 0:00,HOME_WIN,72,83,73.66666667,80,79,84
1229375,8650,8659,2012/2013,2/11/13 0:00,AWAY_WIN,75,85,71.75,79.6,78,83
1229376,10260,8668,2012/2013,2/10/13 0:00,HOME_WIN,72,88,80,81.5,81,80
1229377,9850,9879,2012/2013,2/9/13 0:00,DRAW,75,72,74.5,73.5,79,70
1229378,8466,8456,2012/2013,2/9/13 0:00,HOME_WIN,85.5,74,81,72.2,84,74
1229380,10194,9798,2012/2013,2/9/13 0:00,HOME_WIN,70,73,71.66666667,73,72,79
1229381,8472,9825,2012/2013,2/9/13 0:00,AWAY_WIN,80.5,77,78,72.5,80,76
1229382,10003,10172,2012/2013,2/9/13 0:00,HOME_WIN,69,76.33333333,74.33333333,73.25,83,81
1229383,8586,10261,2012/2013,2/9/13 0:00,HOME_WIN,82,81,76.2,76.5,79,85
1229385,9825,10252,2012/2013,2/23/13 0:00,HOME_WIN,72.33333333,80.5,70,77.75,76,80
1229386,9879,10194,2012/2013,2/23/13 0:00,HOME_WIN,73,0,72.8,76,79,79
1229387,8650,10003,2012/2013,2/17/13 0:00,HOME_WIN,76,82.5,67.75,79.6,81,83
1229388,8456,8455,2012/2013,2/24/13 0:00,HOME_WIN,82,88,80.8,79.25,84,84
1229389,10261,8466,2012/2013,2/24/13 0:00,HOME_WIN,74,82,72,78,74,65
1229390,9850,8668,2012/2013,2/23/13 0:00,HOME_WIN,74.5,74,77.5,73.5,81,70
1229391,10172,10260,2012/2013,2/23/13 0:00,AWAY_WIN,85,73,84.33333333,74.66666667,80,83
1229392,9798,8528,2012/2013,2/23/13 0:00,AWAY_WIN,75,72,73.8,70.75,79,72
1229393,8659,8472,2012/2013,2/23/13 0:00,HOME_WIN,76.5,74.5,73.5,72.25,76,78
1229394,8654,8586,2012/2013,2/25/13 0:00,AWAY_WIN,81,73.5,78.5,71.5,85,72
1229395,10252,8456,2012/2013,3/4/13 0:00,AWAY_WIN,86,73,79.25,70,84,76
1229396,8455,8659,2012/2013,3/2/13 0:00,HOME_WIN,71.5,82,72.25,80.25,78,84
1229398,8668,9798,2012/2013,3/2/13 0:00,HOME_WIN,70.33333333,77,71.66666667,77.5,69,69
1229400,10260,9850,2012/2013,3/2/13 0:00,HOME_WIN,74,88.5,73.5,81.5,70,80
1229401,8466,10172,2012/2013,3/2/13 0:00,AWAY_WIN,74.5,74,74.66666667,72.4,83,74
1229402,10194,8654,2012/2013,3/2/13 0:00,AWAY_WIN,77,73,71.75,73.25,73,79
1229403,8472,9879,2012/2013,3/2/13 0:00,DRAW,0,76.5,76.25,73.5,79,76
1229404,10003,10261,2012/2013,3/2/13 0:00,HOME_WIN,81,76.33333333,77.6,71.5,65,81
1229405,8586,9825,2012/2013,3/3/13 0:00,HOME_WIN,80.5,78.5,77.75,79.25,80,85
1229406,8528,8650,2012/2013,3/2/13 0:00,AWAY_WIN,86,75,79.6,74,83,79
1229407,9825,8668,2012/2013,4/16/13 0:00,DRAW,72,80.5,77.75,80.25,81,80
1229408,9879,8455,2012/2013,4/17/13 0:00,AWAY_WIN,79,79,79.75,76,84,79
1229409,8650,8586,2012/2013,3/10/13 0:00,HOME_WIN,79,83.5,79.25,79.6,85,70
1229410,8456,8528,2012/2013,4/17/13 0:00,HOME_WIN,75,86.5,74.4,81,73,84
1229412,10261,10194,2012/2013,3/10/13 0:00,HOME_WIN,73,81,73,77.6,79,65
1229413,9850,8466,2012/2013,3/9/13 0:00,DRAW,74,72.33333333,71.8,73.5,74,70
1229414,10172,8472,2012/2013,3/9/13 0:00,HOME_WIN,76.5,77.5,73.5,74.75,76,76
1229415,9798,10252,2012/2013,3/9/13 0:00,AWAY_WIN,73,69.66666667,73.5,71.66666667,77,69
1229416,8659,10003,2012/2013,3/9/13 0:00,HOME_WIN,74,77,71.5,71.75,81,78
1229417,8654,10260,2012/2013,4/17/13 0:00,DRAW,88,72.33333333,82.25,71.75,81,73
1228301,8455,9798,2012/2013,8/22/12 0:00,HOME_WIN,77,85,71.25,81.8,72,84
1228302,8650,9825,2012/2013,9/2/12 0:00,AWAY_WIN,81.5,81.5,76,80.5,70,83
1228303,8456,10172,2012/2013,9/1/12 0:00,HOME_WIN,76,84.5,73.5,80.75,77,84
1228304,10261,10252,2012/2013,9/2/12 0:00,DRAW,77,81.66666667,72,77,75,79
1228305,8466,10260,2012/2013,9/2/12 0:00,AWAY_WIN,88,74,85,72.2,78,74
1228306,10003,8472,2012/2013,9/1/12 0:00,DRAW,77,75.33333333,74.33333333,74.25,76,81
1228309,8586,9850,2012/2013,9/1/12 0:00,DRAW,71.33333333,78.5,71.75,78.6,75,80
1228318,8659,8668,2012/2013,9/1/12 0:00,HOME_WIN,76.5,72,78.33333333,71.75,81,78
1228319,8654,9879,2012/2013,9/1/12 0:00,HOME_WIN,76,74,76.5,70.25,80,73
1228320,8528,10194,2012/2013,9/1/12 0:00,DRAW,74,75,74.6,74.2,76,79
1229418,10252,10172,2012/2013,3/16/13 0:00,HOME_WIN,78,73,74.75,73.5,83,77
1229419,8455,8654,2012/2013,3/17/13 0:00,HOME_WIN,75,79,71.75,79.5,73,84
1229420,8668,8456,2012/2013,3/16/13 0:00,HOME_WIN,84.5,72,78.75,77,84,69
1229421,10260,9798,2012/2013,3/16/13 0:00,HOME_WIN,68,88,71.5,80.25,69,80
1229422,8466,8650,2012/2013,3/16/13 0:00,HOME_WIN,83.5,74.5,80.75,72.4,70,75
1229423,10194,8659,2012/2013,3/16/13 0:00,DRAW,77,73,71.75,72.75,78,79
1229424,8472,9850,2012/2013,3/17/13 0:00,DRAW,69,75.5,73.5,73.33333333,70,78
1229426,10003,9825,2012/2013,3/16/13 0:00,AWAY_WIN,80.5,76.33333333,77.25,72,76,81
1229427,8586,9879,2012/2013,3/17/13 0:00,AWAY_WIN,0,78.5,76.25,77.2,79,85
1229428,8528,10261,2012/2013,3/17/13 0:00,HOME_WIN,81,73,77.6,73.8,66,73
